device_group,sensor_package_name,device_query,session_id,stream_id,session_type,sensor_name,measurement_type,unit,raw_time,source_time,time_utc,time_status,value,latitude,longitude,coordinate_source,source_row_index
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1955008,2861093,FixedSession,AirBeam3-F,Temperature,F,1771002600000,2026-02-13T17:10:00,,source_clock_unverified,64.0,,,withheld_indoor,2
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1955008,2861093,FixedSession,AirBeam3-F,Temperature,F,1771002715000,2026-02-13T17:11:55,,source_clock_unverified,67.0,,,withheld_indoor,3
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1955008,2861093,FixedSession,AirBeam3-F,Temperature,F,1771002835000,2026-02-13T17:13:55,,source_clock_unverified,69.0,,,withheld_indoor,4
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1955008,2861093,FixedSession,AirBeam3-F,Temperature,F,1771002775000,2026-02-13T17:12:55,,source_clock_unverified,68.0,,,withheld_indoor,5
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1955008,2861093,FixedSession,AirBeam3-F,Temperature,F,1771002895000,2026-02-13T17:14:55,,source_clock_unverified,69.0,,,withheld_indoor,6
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1955008,2861093,FixedSession,AirBeam3-F,Temperature,F,1771003075000,2026-02-13T17:17:55,,source_clock_unverified,70.0,,,withheld_indoor,7
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1955008,2861093,FixedSession,AirBeam3-F,Temperature,F,1771002955000,2026-02-13T17:15:55,,source_clock_unverified,70.0,,,withheld_indoor,8
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1955008,2861093,FixedSession,AirBeam3-F,Temperature,F,1771003015000,2026-02-13T17:16:55,,source_clock_unverified,70.0,,,withheld_indoor,9
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1955008,2861093,FixedSession,AirBeam3-F,Temperature,F,1771003135000,2026-02-13T17:18:55,,source_clock_unverified,71.0,,,withheld_indoor,10
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1955008,2861093,FixedSession,AirBeam3-F,Temperature,F,1771003195000,2026-02-13T17:19:55,,source_clock_unverified,71.0,,,withheld_indoor,11
